"module name","license","repository"
"Single Page Apps for GitHub Pages", "MIT", "https://github.com/rafgraph/spa-github-pages"
"@babel/code-frame@7.26.2","MIT","https://github.com/babel/babel"
"@babel/generator@7.26.9","MIT","https://github.com/babel/babel"
"@babel/helper-module-imports@7.25.9","MIT","https://github.com/babel/babel"
"@babel/helper-string-parser@7.25.9","MIT","https://github.com/babel/babel"
"@babel/helper-validator-identifier@7.25.9","MIT","https://github.com/babel/babel"
"@babel/parser@7.26.9","MIT","https://github.com/babel/babel"
"@babel/runtime@7.26.9","MIT","https://github.com/babel/babel"
"@babel/template@7.26.9","MIT","https://github.com/babel/babel"
"@babel/traverse@7.26.9","MIT","https://github.com/babel/babel"
"@babel/types@7.26.9","MIT","https://github.com/babel/babel"
"@emotion/babel-plugin@11.13.5","MIT","https://github.com/emotion-js/emotion/tree/main/packages/babel-plugin"
"@emotion/cache@11.14.0","MIT","https://github.com/emotion-js/emotion/tree/main/packages/cache"
"@emotion/hash@0.9.2","MIT","https://github.com/emotion-js/emotion/tree/main/packages/hash"
"@emotion/is-prop-valid@1.3.1","MIT","https://github.com/emotion-js/emotion/tree/main/packages/is-prop-valid"
"@emotion/memoize@0.9.0","MIT","https://github.com/emotion-js/emotion/tree/main/packages/memoize"
"@emotion/react@11.14.0","MIT","https://github.com/emotion-js/emotion/tree/main/packages/react"
"@emotion/serialize@1.3.3","MIT","https://github.com/emotion-js/emotion/tree/main/packages/serialize"
"@emotion/sheet@1.4.0","MIT","https://github.com/emotion-js/emotion/tree/main/packages/sheet"
"@emotion/styled@11.14.0","MIT","https://github.com/emotion-js/emotion/tree/main/packages/styled"
"@emotion/unitless@0.10.0","MIT","https://github.com/emotion-js/emotion/tree/main/packages/unitless"
"@emotion/use-insertion-effect-with-fallbacks@1.2.0","MIT","https://github.com/emotion-js/emotion/tree/main/packages/use-insertion-effect-with-fallbacks"
"@emotion/utils@1.4.2","MIT","https://github.com/emotion-js/emotion/tree/main/packages/utils"
"@emotion/weak-memoize@0.4.0","MIT","https://github.com/emotion-js/emotion/tree/main/packages/weak-memoize"
"@esbuild/win32-x64@0.25.1","MIT","https://github.com/evanw/esbuild"
"@eslint-community/eslint-utils@4.5.0","MIT","https://github.com/eslint-community/eslint-utils"
"@eslint-community/regexpp@4.12.1","MIT","https://github.com/eslint-community/regexpp"
"@eslint/config-array@0.19.2","Apache-2.0","https://github.com/eslint/rewrite"
"@eslint/config-helpers@0.1.0","Apache-2.0","https://github.com/eslint/rewrite"
"@eslint/core@0.12.0","Apache-2.0","https://github.com/eslint/rewrite"
"@eslint/eslintrc@3.3.0","MIT","https://github.com/eslint/eslintrc"
"@eslint/js@9.22.0","MIT","https://github.com/eslint/eslint"
"@eslint/object-schema@2.1.6","Apache-2.0","https://github.com/eslint/rewrite"
"@eslint/plugin-kit@0.2.7","Apache-2.0","https://github.com/eslint/rewrite"
"@humanfs/core@0.19.1","Apache-2.0","https://github.com/humanwhocodes/humanfs"
"@humanfs/node@0.16.6","Apache-2.0","https://github.com/humanwhocodes/humanfs"
"@humanwhocodes/module-importer@1.0.1","Apache-2.0","https://github.com/humanwhocodes/module-importer"
"@humanwhocodes/retry@0.3.1","Apache-2.0","https://github.com/humanwhocodes/retry"
"@humanwhocodes/retry@0.4.2","Apache-2.0","https://github.com/humanwhocodes/retry"
"@jridgewell/gen-mapping@0.3.8","MIT","https://github.com/jridgewell/gen-mapping"
"@jridgewell/resolve-uri@3.1.2","MIT","https://github.com/jridgewell/resolve-uri"
"@jridgewell/set-array@1.2.1","MIT","https://github.com/jridgewell/set-array"
"@jridgewell/sourcemap-codec@1.5.0","MIT","https://github.com/jridgewell/sourcemap-codec"
"@jridgewell/trace-mapping@0.3.25","MIT","https://github.com/jridgewell/trace-mapping"
"@mui/core-downloads-tracker@6.4.7","MIT","https://github.com/mui/material-ui"
"@mui/icons-material@6.4.7","MIT","https://github.com/mui/material-ui"
"@mui/material@6.4.7","MIT","https://github.com/mui/material-ui"
"@mui/private-theming@6.4.6","MIT","https://github.com/mui/material-ui"
"@mui/styled-engine@6.4.6","MIT","https://github.com/mui/material-ui"
"@mui/system@6.4.7","MIT","https://github.com/mui/material-ui"
"@mui/types@7.2.21","MIT","https://github.com/mui/material-ui"
"@mui/utils@6.4.6","MIT","https://github.com/mui/material-ui"
"@popperjs/core@2.11.8","MIT","https://github.com/popperjs/popper-core"
"@rollup/rollup-win32-x64-msvc@4.35.0","MIT","https://github.com/rollup/rollup"
"@swc/core-win32-x64-msvc@1.11.8","Apache-2.0 AND MIT","https://github.com/swc-project/swc"
"@swc/core@1.11.8","Apache-2.0","https://github.com/swc-project/swc"
"@swc/counter@0.1.3","Apache-2.0","https://github.com/swc-project/pkgs"
"@swc/types@0.1.19","Apache-2.0","https://github.com/swc-project/swc"
"@tailwindcss/node@4.0.12","MIT","https://github.com/tailwindlabs/tailwindcss"
"@tailwindcss/oxide-win32-x64-msvc@4.0.12","MIT","https://github.com/tailwindlabs/tailwindcss"
"@tailwindcss/oxide@4.0.12","MIT","https://github.com/tailwindlabs/tailwindcss"
"@tailwindcss/vite@4.0.12","MIT","https://github.com/tailwindlabs/tailwindcss"
"@types/cookie@0.6.0","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/estree@1.0.6","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/json-schema@7.0.15","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/parse-json@4.0.2","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/prop-types@15.7.14","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/react-dom@19.0.4","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/react-transition-group@4.4.12","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/react@19.0.10","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@vitejs/plugin-react-swc@3.8.0","MIT","https://github.com/vitejs/vite-plugin-react-swc"
"acorn-jsx@5.3.2","MIT","https://github.com/acornjs/acorn-jsx"
"acorn@8.14.1","MIT","https://github.com/acornjs/acorn"
"ajv@6.12.6","MIT","https://github.com/ajv-validator/ajv"
"ansi-styles@4.3.0","MIT","https://github.com/chalk/ansi-styles"
"argparse@2.0.1","Python-2.0","https://github.com/nodeca/argparse"
"babel-plugin-macros@3.1.0","MIT","https://github.com/kentcdodds/babel-plugin-macros"
"balanced-match@1.0.2","MIT","https://github.com/juliangruber/balanced-match"
"brace-expansion@1.1.11","MIT","https://github.com/juliangruber/brace-expansion"
"callsites@3.1.0","MIT","https://github.com/sindresorhus/callsites"
"chalk@4.1.2","MIT","https://github.com/chalk/chalk"
"clsx@2.1.1","MIT","https://github.com/lukeed/clsx"
"color-convert@2.0.1","MIT","https://github.com/Qix-/color-convert"
"color-name@1.1.4","MIT","https://github.com/colorjs/color-name"
"concat-map@0.0.1","MIT","https://github.com/substack/node-concat-map"
"convert-source-map@1.9.0","MIT","https://github.com/thlorenz/convert-source-map"
"cookie@1.0.2","MIT","https://github.com/jshttp/cookie"
"cosmiconfig@7.1.0","MIT","https://github.com/davidtheclark/cosmiconfig"
"cross-spawn@7.0.6","MIT","https://github.com/moxystudio/node-cross-spawn"
"csstype@3.1.3","MIT","https://github.com/frenic/csstype"
"debug@4.4.0","MIT","https://github.com/debug-js/debug"
"deep-is@0.1.4","MIT","https://github.com/thlorenz/deep-is"
"detect-libc@2.0.3","Apache-2.0","https://github.com/lovell/detect-libc"
"dom-helpers@5.2.1","MIT","https://github.com/react-bootstrap/dom-helpers"
"enhanced-resolve@5.18.1","MIT","https://github.com/webpack/enhanced-resolve"
"error-ex@1.3.2","MIT","https://github.com/qix-/node-error-ex"
"esbuild@0.25.1","MIT","https://github.com/evanw/esbuild"
"escape-string-regexp@4.0.0","MIT","https://github.com/sindresorhus/escape-string-regexp"
"eslint-plugin-react-hooks@5.2.0","MIT","https://github.com/facebook/react"
"eslint-plugin-react-refresh@0.4.19","MIT","https://github.com/ArnaudBarre/eslint-plugin-react-refresh"
"eslint-scope@8.3.0","BSD-2-Clause","https://github.com/eslint/js"
"eslint-visitor-keys@3.4.3","Apache-2.0","https://github.com/eslint/eslint-visitor-keys"
"eslint-visitor-keys@4.2.0","Apache-2.0","https://github.com/eslint/js"
"eslint@9.22.0","MIT","https://github.com/eslint/eslint"
"espree@10.3.0","BSD-2-Clause","https://github.com/eslint/js"
"esquery@1.6.0","BSD-3-Clause","https://github.com/estools/esquery"
"esrecurse@4.3.0","BSD-2-Clause","https://github.com/estools/esrecurse"
"estraverse@5.3.0","BSD-2-Clause","https://github.com/estools/estraverse"
"esutils@2.0.3","BSD-2-Clause","https://github.com/estools/esutils"
"fast-deep-equal@3.1.3","MIT","https://github.com/epoberezkin/fast-deep-equal"
"fast-json-stable-stringify@2.1.0","MIT","https://github.com/epoberezkin/fast-json-stable-stringify"
"fast-levenshtein@2.0.6","MIT","https://github.com/hiddentao/fast-levenshtein"
"file-entry-cache@8.0.0","MIT","https://github.com/jaredwray/file-entry-cache"
"find-root@1.1.0","MIT","https://github.com/js-n/find-root"
"find-up@5.0.0","MIT","https://github.com/sindresorhus/find-up"
"flat-cache@4.0.1","MIT","https://github.com/jaredwray/flat-cache"
"flatted@3.3.3","ISC","https://github.com/WebReflection/flatted"
"function-bind@1.1.2","MIT","https://github.com/Raynos/function-bind"
"glob-parent@6.0.2","ISC","https://github.com/gulpjs/glob-parent"
"globals@11.12.0","MIT","https://github.com/sindresorhus/globals"
"globals@14.0.0","MIT","https://github.com/sindresorhus/globals"
"globals@15.15.0","MIT","https://github.com/sindresorhus/globals"
"graceful-fs@4.2.11","ISC","https://github.com/isaacs/node-graceful-fs"
"has-flag@4.0.0","MIT","https://github.com/sindresorhus/has-flag"
"hasown@2.0.2","MIT","https://github.com/inspect-js/hasOwn"
"hoist-non-react-statics@3.3.2","BSD-3-Clause","https://github.com/mridgway/hoist-non-react-statics"
"ignore@5.3.2","MIT","https://github.com/kaelzhang/node-ignore"
"import-fresh@3.3.1","MIT","https://github.com/sindresorhus/import-fresh"
"imurmurhash@0.1.4","MIT","https://github.com/jensyt/imurmurhash-js"
"is-arrayish@0.2.1","MIT","https://github.com/qix-/node-is-arrayish"
"is-core-module@2.16.1","MIT","https://github.com/inspect-js/is-core-module"
"is-extglob@2.1.1","MIT","https://github.com/jonschlinkert/is-extglob"
"is-glob@4.0.3","MIT","https://github.com/micromatch/is-glob"
"isexe@2.0.0","ISC","https://github.com/isaacs/isexe"
"jiti@2.4.2","MIT","https://github.com/unjs/jiti"
"js-tokens@4.0.0","MIT","https://github.com/lydell/js-tokens"
"js-yaml@4.1.0","MIT","https://github.com/nodeca/js-yaml"
"jsesc@3.1.0","MIT","https://github.com/mathiasbynens/jsesc"
"json-buffer@3.0.1","MIT","https://github.com/dominictarr/json-buffer"
"json-parse-even-better-errors@2.3.1","MIT","https://github.com/npm/json-parse-even-better-errors"
